i,Car,Company,Engine,Power,Length,Width,Height,Wheelbase,Price,Sales,Cluster
0,Tiguan,volkswagen,1984,190,4509,1839,1665,2679,3350000,103,0
1,Virtus,volkswagen,999,115,4561,1752,1507,2651,1468333,1439,2
2,Taigun,volkswagen,999,115,4221,1760,1612,2651,1536714,1680,1
3,Kiger,renault,999,72,3991,1750,1600,2500,849499,2691,2
4,Triber,renault,999,72,3990,1739,1643,2636,755200,3008,2
5,Kwid,renault,799,54,3731,1579,1490,2422,523999,1830,2
6,Compass,jeep,1368,160,4405,1818,1640,2636,2592117,735,1
7,Meridian,jeep,1956,172,4769,1859,1698,2782,3306999,527,0
8,ZS EV,mg,1000,177,4323,1809,1649,2585,2454000,513,1
9,Astor,mg,1349,140,4323,1809,1650,2585,1428333,1419,1
10,Hector,mg,1451,143,4655,1835,1760,2750,1756181,1969,1
11,Gloster,mg,1996,216,4985,1926,1867,2950,3789000,197,0
12,Hector Plus,mg,1451,143,4720,1835,1760,2750,1852249,1969,1
13,Safari,tata,1956,170,4661,1894,1786,2741,2121527,1778,0
14,Altroz,tata,1199,86,3990,1755,1523,2501,877290,5182,2
15,Nexon,tata,1199,120,3993,1811,1606,2498,1197522,14625,2
16,Punch,tata,1199,86,3827,1742,1615,2445,808533,11465,2
17,Tiago,tata,1199,73,3765,1677,1535,2400,680312,6316,2
18,Harrier,tata,1956,170,4598,1894,1706,2741,1994999,2789,0
19,Tigor,tata,1199,73,3993,1677,1532,2450,787888,4308,2
20,Verna,hyundai,998,120,4440,1729,1475,2600,1267166,1860,2
21,Aura,hyundai,998,100,3995,1680,1520,2450,795545,4133,2
22,Creta,hyundai,1353,140,4300,1790,1635,2610,1509689,12843,1
23,i20,hyundai,998,120,3995,1775,1505,2580,971199,7446,2
24,Venue,hyundai,998,120,3995,1770,1617,2500,1097062,10819,2
25,Alcazar,hyundai,1493,115,4500,1790,1675,2760,1849210,2539,1
26,Grand i10 Nios,hyundai,998,100,3805,1680,1520,2450,741249,9090,2
27,Tucson,hyundai,1997,186,4630,1865,1665,2755,3165124,277,0
28,Carnival,kia,2199,200,5115,1985,1755,3060,3000500,316,0
29,Sonet,kia,998,120,3995,1790,1642,2500,1142130,7874,2
30,Carens,kia,1400,140,4540,1800,1708,2780,1491052,6083,1
31,Seltos,kia,1353,140,4315,1800,1645,2610,1499420,9273,1
32,EV6,kia,1000,325,4695,1890,1570,2900,6245000,46,0
33,Glanza,toyota,1197,78,3990,1745,1500,2520,855111,3131,2
34,Fortuner,toyota,2694,166,4795,1855,1835,2745,3989777,2607,0
35,Vellfire,toyota,2494,117,4935,1850,1895,3000,9080000,76,0
36,Camry,toyota,2487,218,4885,1840,1455,2825,4525000,76,0
37,Innova Crysta,toyota,2393,150,4735,1830,1795,2750,2078150,5462,0
38,Hilux,toyota,2755,204,5325,1855,1815,3085,3552999,25,0
39,Kicks,nissan,1330,156,4384,1813,1669,2673,1267500,118,1
40,Magnite,nissan,999,100,3994,1758,1572,2500,834636,3065,2
41,Marazzo,mahindra,1497,123,4585,1866,1774,2760,1454333,159,1
42,Thar,mahindra,1997,150,3985,1855,1920,2450,1499300,3825,1
43,XUV300,mahindra,1197,110,3995,1821,1627,2600,1139750,5546,1
44,Bolero Neo,mahindra,1493,100,3995,1795,1817,2680,1067000,8151,1
45,XUV700 7-Seater,mahindra,1997,200,4695,1890,1755,2750,2090538,5981,0
46,Superb,skoda,1984,190,4869,1864,1469,2841,3574000,152,0
47,Kodiaq,skoda,1984,190,4699,1882,1665,2791,3865666,100,0
48,Kushaq,skoda,999,115,4225,1760,1612,2651,1642999,2141,1
49,Slavia,skoda,999,115,4541,1752,1507,2651,1484624,1822,2
50,Octavia,skoda,1984,190,4689,1829,1469,2680,2835000,126,0
51,C5 Aircross,citroen,1997,177,4500,1969,1710,2730,3667000,22,0
52,Jazz,honda,1199,90,3989,1694,1544,2530,920666,369,2
53,WRV,honda,1199,90,3999,1734,1601,2555,1064500,536,2
54,City,honda,1498,100,4549,1748,1489,2600,1382888,3218,2
55,Amaze,honda,1199,90,3995,1695,1501,2470,900999,3825,2
56,Ignis,maruti-nexa,1197,83,3700,1690,1595,2435,660142,5402,2
57,Ciaz,maruti-nexa,1462,105,4490,1730,1485,2650,1054250,1533,2
58,XL6,maruti-nexa,1462,88,4445,1775,1755,2740,1303111,3027,1
59,Baleno,maruti-nexa,1197,77,3990,1745,1500,2520,823666,18324,2
60,Brezza,maruti-arena,1462,103,3995,1790,1685,2500,1161363,11002,1
61,Celerio,maruti-arena,998,57,3695,1655,1555,2435,622500,5593,2
62,Swift,maruti-arena,1197,83,3845,1735,1530,2450,763333,14899,2
63,Alto,maruti-arena,796,41,3445,1515,1475,2360,415999,16501,2
64,Ertiga,maruti-arena,1462,88,4395,1735,1690,2740,1087444,10507,1
65,Dzire,maruti-arena,1197,90,3995,1735,1515,2450,808000,12431,2
66,S-Presso,maruti-arena,998,57,3565,1520,1567,2380,543500,5114,2
67,Wagon R,maruti-arena,998,57,3655,1620,1675,2435,645500,18819,2
68,Eeco,maruti-arena,1196,73,3675,1475,1825,2350,596384,10653,2
